 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) | trigW(trigWsysErr,trigWerr) | SF(SFerr) |ZgR(REr1) |f(fsysErr,+ferrUp-ferrDn) |purity(pErr)| DR(+DRup-DRlow)| Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 32 : 62.3( 0.17)|43.555 |18.745 |56.0 |42.0| 0.957(0.024) |14.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.41(0.167) |0.818(0.005,+0.069-0.069) |0.937(0.025)| 1.0(+0.0-0.0)| 18.51(+0.404-0.404,+0.183-0.183)
 33 : 180.366( 0.125)|144.229 |36.137 |243.0 |158.0| 0.949(0.052) |85.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.475(0.132) |0.911(0.005,+0.032-0.032) |0.933(0.044)| 1.0(+0.0-0.0)| 103.047(+0.151-0.151,+0.144-0.144)
 34 : 108.32( 0.123)|75.091 |33.23 |92.0 |72.0| 0.949(0.052) |20.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.413(0.124) |0.879(0.005,+0.034-0.034) |0.939(0.047)| 1.0(+0.0-0.0)| 32.922(+0.291-0.291,+0.137-0.137)
 35 : 52.038( 0.199)|42.256 |9.782 |46.0 |34.0| 0.952(0.106) |12.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.397(0.204) |1.0(0.005,+0.0-0.03) |0.946(0.099)| 1.0(+0.0-0.0)| 18.158(+0.374-0.374,+0.227-0.229)
 36 : 67.614( 0.163)|57.908 |9.706 |54.0 |41.0| 0.952(0.106) |13.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.387(0.164) |0.9(0.005,+0.022-0.022) |0.946(0.1)| 1.0(+0.0-0.0)| 18.703(+0.393-0.393,+0.194-0.194)
 37 : 12.661( 0.342)|12.661 |0.0 |8.0 |7.0| 0.952(0.106) |1.0| 0.926(0.08) | 0.979(0.01,0.006) | 0.965(0.009) |0.522(0.336) |0.968(0.005,+0.018-0.018) |0.949(0.103)| 1.0(+0.0-0.0)| 4.059(+0.697-0.697,+0.352-0.352)
 38 : 7.497( 0.439)|7.497 |0.0 |3.0 |3.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.978(0.01,0.004) | 0.965(0.009) |0.511(0.433) |0.847(0.005,+0.049-0.049) |0.952(0.106)| 1.0(+0.0-0.0)| 1.31(+1.836-1.836,+0.449-0.449)
 39 : 3.177( 0.62)|3.177 |0.0 |7.0 |3.0| 0.957(0.024) |4.0| 0.877(0.03) | 0.988(0.01,0.001) | 0.965(0.009) |0.574(0.613) |0.914(0.005,+0.037-0.037) |0.911(0.027)| 1.0(+0.0-0.0)| 3.51(+0.754-0.754,+0.615-0.615)
 40 : 5.054( 0.531)|4.338 |0.715 |4.0 |1.0| 0.957(0.024) |3.0| 0.877(0.03) | 0.988(0.01,0.001) | 0.965(0.009) |0.71(0.519) |0.818(0.005,+0.069-0.069) |0.897(0.028)| 1.0(+0.0-0.0)| 2.19(+0.913-0.913,+0.525-0.525)
 41 : 3.766( 0.751)|2.304 |1.462 |10.0 |7.0| 0.949(0.052) |3.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.67(0.731) |0.911(0.005,+0.032-0.032) |0.936(0.045)| 1.0(+0.0-0.0)| 5.995(+0.527-0.527,+0.734-0.734)
 42 : 14.96( 0.346)|14.801 |0.159 |13.0 |11.0| 0.949(0.052) |2.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.359(0.341) |0.879(0.005,+0.034-0.034) |0.942(0.048)| 1.0(+0.0-0.0)| 4.06(+0.888-0.888,+0.346-0.346)
 43 : 6.073( 0.603)|2.302 |3.771 |1.0 |1.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.989(0.01,0.003) | 0.965(0.009) |0.08(0.618) |1.0(0.005,+0.0-0.03) |0.952(0.106)| 1.0(+0.0-0.0)| 0.079(+24.515-24.515,+0.627-0.628)
 44 : 6.352( 0.524)|6.352 |0.0 |6.0 |6.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.987(0.01,0.003) | 0.965(0.009) |0.557(0.589) |0.9(0.005,+0.022-0.022) |0.952(0.106)| 1.0(+0.0-0.0)| 3.009(+0.985-0.985,+0.599-0.599)
 45 : 1.14( 1.037)|1.14 |0.0 |0.0 |0.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.978(0.01,0.005) | 0.965(0.009) |0.274(1.035) |0.968(0.005,+0.018-0.018) |1.0(0.0)| 1.0(+0.0-0.0)| 0.0(+0.647-0.647,+1.035-1.035)
 46 : 0.0( 1.67)|0.0 |0.0 |0.0 |0.0| 0.952(0.106) |0.0| 0.926(0.08) | 1.0(0.01,0.0) | 0.965(0.009) |0.511(1.0) |0.847(0.005,+0.049-0.049) |1.0(0.0)| 1.0(+0.0-0.0)| 0.0(+1.206-1.206,+1.001-1.001)
