 Njbin | Nbbin | Nmumu |  Nee  | Nb/0b   | stat | MC stat | syst+ | syst- | sysKin | sysPur
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   1.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 9+   |    1     |   0.0  |0.0 | 0.851414978504 | 0.127807270671 | 0.144358900786 | 0.0436563566327 | 0.27598002553 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563678086 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |1.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563678086 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563640833 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563640833 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851414978504 | 0.127807270671 | 0.144358900786 | 0.0436563566327 | 0.27598002553 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563678086 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851414978504 | 0.127807270671 | 0.144358900786 | 0.0436563566327 | 0.27598002553 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563938856 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    1     |   1.0  |0.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563678086 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563938856 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851414978504 | 0.127807270671 | 0.144358900786 | 0.0436563566327 | 0.27598002553 | 0.07 | 0.0384319229588
 9+   |    1     |   0.0  |0.0 | 0.851415038109 | 0.127807270671 | 0.144358900786 | 0.0436563678086 | 0.275980055332 | 0.07 | 0.0384319229588
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.205675125122 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.20567509532 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.20567509532 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.205675110221 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.205675110221 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.205675125122 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.20567509532 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.205675125122 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.205675050616 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.20567509532 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.205675050616 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.205675125122 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |    2     |   0.0  |0.0 | 0.422964096069 | 0.265222806815 | 0.248261479818 | 0.20567509532 | 0.349946498871 | 0.1 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670244217 | 0.37385854125 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670184612 | 0.373858571053 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670184612 | 0.373858571053 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670065403 | 0.37385854125 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670065403 | 0.37385854125 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670244217 | 0.37385854125 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670184612 | 0.373858571053 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670244217 | 0.37385854125 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670244217 | 0.373858630657 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670184612 | 0.373858571053 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670244217 | 0.373858630657 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670244217 | 0.37385854125 | 0.2 | 0.0766880888107
 9+   |   >=3    |   0.0  |0.0 | 0.170825853944 | 1.00183654884 | 0.43622465112 | 0.973670184612 | 0.373858571053 | 0.2 | 0.0766880888107
